Fund Name,,,,RP,PM,TER,MF,SAM,ReturnMTD,ReturnYTD,NAV,Date,AUM
NBP Government Securities Plan IV,,,,-,-,1.47%,1.02%,0.5%,17.33%,17.61%,11.6397,2025-05-27,"8,262,000,000"
Alfalah Savings Growth Fund (Formerly: Faysal Savings Growth Fund),,,,-,-,1.69%,0.01%,0.6%,17.32%,21.49%,124.83,2025-05-27,"188,850,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XVI),,,,-,-,0.78%,0.2%,0.3%,17.22%,14.43%,101.541,2025-05-27,"1,183,030,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XV),,,,-,-,0.5%,0.2%,0.3%,17.2%,14.4%,101.477,2025-05-27,"734,190,000"
MCB DCF Income Fund,,,,Medium,Forward,2.29%,1.7%,0.3%,17.12%,16.62%,125.531,2025-05-27,"21,653,000,000"
AKD Islamic Income Fund,,,,Medium,Forward,1.71%,1%,0.2%,16.77%,15.07%,58.5557,2025-05-27,"1,317,970,000"
Alhamra Islamic Pension Fund,,,,-,Forward,1.57%,1.15%,-,16.71%,19.83%,428.28,2025-05-27,"1,368,000,000"
NIT - Government Bond Fund,,,,Medium,Forward,1.45%,0.97%,0.93%,16.61%,16.98%,11.5315,2025-05-27,"17,538,000,000"
HBL Pension Fund,,,,-,Forward,1.55%,1.15%,3%,16.59%,19.53%,400.868,2025-05-27,"999,730,000"
Pakistan Income Fund,,,,Medium,Forward,2.21%,1.5%,0.3%,16.58%,17.74%,63.7862,2025-05-27,"2,636,560,000"
MCB DCF Fixed Return Plan VIII,,,,-,-,0.3%,0.14%,-,16.54%,11.53%,102.369,2025-05-27,"1,011,660,000"
JS Pension Savings Fund,,,,-,Forward,1.41%,1%,-,16.43%,16.45%,549.203,2025-05-27,"228,300,000"
UBL Fixed Return Plan I (U),,,,-,-,-0.07%,0.08%,-,16.38%,667.22%,383.338,2025-05-28,"551,300,000"
Al Ameen Islamic Aggressive Income Fund,,,,Medium,Forward,1.3%,1%,-,16.36%,25.88%,124.536,2025-05-28,"746,830,000"
Alfalah GHP Islamic Income Fund,,,,Medium,Forward,1.69%,1.3%,0.35%,16.33%,14.05%,116.439,2025-05-27,"3,698,460,000"
Alfalah Stable Return Fund Plan XVIII,,,,-,-,0.49%,0.25%,-,16.31%,11.66%,102.844,2025-05-27,"1,529,580,000"
UBL Fixed Return Plan IV (M),,,,-,-,0.45%,0.31%,-,16.14%,11.36%,102.583,2025-05-28,"2,096,780,000"
UBL Income Opportunity Fund,,,,Medium,Forward,1.41%,0.09%,-,16.04%,17.24%,127.767,2025-05-28,"1,640,830,000"
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan II),,,,-,-,0.91%,0.2%,0.3%,16.02%,16.02%,100.922,2025-05-27,-
UBL Fixed Return Plan IV (K),,,,-,-,0.88%,0.75%,-,15.99%,10.81%,102.904,2025-05-28,"2,701,410,000"
ABL Fixed Rate Plan IX,,,,-,-,0.46%,0.25%,-,15.9%,12.32%,10.5131,2025-05-27,"2,806,000,000"
UBL Fixed Return Plan III (G),,,,-,-,0.2%,0.1%,-,15.87%,19.13%,114.713,2025-05-28,"6,059,510,000"
UBL Fixed Return Plan I (V),,,,-,-,0.15%,0.08%,-,15.87%,12.46%,105.222,2025-05-28,"3,118,710,000"
ABL Government Securities Fund,,,,High,-,1.72%,1.25%,100%,15.85%,17.66%,11.785,2025-05-27,"7,267,000,000"
Alfalah GHP Islamic Pension Fund,,,,Low,Forward,1.18%,0.6%,-,15.63%,14.87%,202.842,2025-05-27,"254,200,000"
AL Habib Islamic Income Fund,,,,-,-,1.45%,1.05%,1.03%,15.49%,14.24%,114.557,2025-05-27,"15,140,200,000"
MCB Pakistan Fixed Return Plan 23,,,,-,-,1.05%,0.79%,-,15.32%,11.43%,104.729,2025-05-27,"8,559,210,000"
JS Income Fund,,,,Medium,Forward,2.07%,1%,0.2%,15.32%,14.81%,116.215,2025-05-27,"7,440,710,000"
Meezan Tahaffuz Pension Fund,,,,-,Forward,0.7%,0.5%,3%,15.31%,14.95%,478.031,2025-05-26,"8,981,000,000"
HBL Mehfooz Munafa Fund Plan III,,,,-,-,0.91%,0.4%,-,15.3%,17.39%,114.961,2025-05-20,"1,603,800,000"
UBL Fixed Return Plan I (O),,,,-,-,0.13%,0.08%,-,15.27%,14.08%,107.329,2025-05-28,"2,121,740,000"
Faysal Islamic Pension Fund,,,,-,Forward,0.99%,1.4%,0.65%,15.24%,16.16%,170.698,2025-05-27,"392,400,000"
Alfalah Stable Return Plan XV,,,,-,-,0.48%,0.27%,-,15.23%,13.43%,106.99,2025-05-27,"1,714,540,000"
HBL Islamic Income Fund,,,,Medium,Forward,1.73%,1.36%,0.05%,15.21%,13.41%,116.336,2025-05-27,"15,660,000,000"
UBL Fixed Return Plan II (U),,,,-,-,0.29%,0.19%,-,15.16%,13.64%,103.428,2025-05-28,"2,330,140,000"
AL Habib Pension Fund,,,,-,-,1.44%,1.01%,1.01%,14.82%,17.55%,167.747,2025-05-27,"264,340,000"
Al Ameen Islamic Retirement Savings Fund,,,,-,-,1.57%,1%,-,14.8%,14.42%,343.484,2025-05-28,"2,100,990,000"
Alhamra Wada Plan (Alhamra Wada Plan XVII),,,,-,-,0.2%,0.05%,-,14.73%,10.11%,101.744,2025-05-27,"2,688,470,000"
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),,,,-,Forward,1.01%,0.01%,-,14.72%,15.43%,166.901,2025-05-27,"8,610,000"
MCB DCF Fixed Return II (Plan III),,,,-,-,0.41%,0.23%,-,14.72%,13.88%,108.253,2025-05-27,"5,889,760,000"
UBL Fixed Return Plan III (S),,,,-,-,0.1%,0.1%,-,14.71%,13.64%,108.037,2025-05-28,"1,388,180,000"
MCB DCF Fixed Return Plan X,,,,-,-,0.43%,0.25%,-,14.71%,14.71%,101.008,2025-05-27,-
Alhamra Islamic Pension Fund,,,,-,Forward,1.39%,1%,-,14.69%,18.04%,390.79,2025-05-27,"1,798,000,000"
AL Habib Fixed Return Fund Plan 21,,,,-,-,0.21%,0.06%,0.06%,14.62%,12.14%,102.728,2025-05-27,"618,060,000"
Alfalah Islamic KPK Employee Pension Fund,,,,-,-,0.72%,-,-,14.6%,14.98%,121.749,2025-05-27,"65,570,000"
Al Ameen Islamic Income Fund,,,,-,-,0.75%,1.06%,-,14.46%,17.02%,115.475,2025-05-28,"1,557,440,000"
Atlas Pension Fund,,,,-,-,0.7%,0.4%,-,14.46%,18.2%,595.23,2025-05-27,"832,000,000"
UBL Fixed Return Plan II (Y),,,,-,-,0.19%,0.14%,-,14.4%,12.24%,102.314,2025-05-28,"4,223,290,000"
Alfalah Stable Return Plan XII,,,,-,-,0.98%,0.7%,0.33%,14.34%,13.95%,108.64,2025-05-27,"5,380,330,000"
AL Habib Islamic Savings Fund,,,,-,-,1.39%,1.02%,1.02%,14.31%,14.01%,113.189,2025-05-29,"18,306,400,000"
ABL Islamic Income Fund,,,,Moderate,Forward,1.14%,0.55%,0.15%,14.29%,15.32%,11.7151,2025-05-27,"1,987,000,000"
HBL Total Treasury Exchange Traded Fund,,,,-,-,0.96%,0.4%,1.03%,14.19%,17.6%,118.095,2025-05-29,"156,000,000"
Faysal Islamic Financial Growth Fund (Faysal Islamic Financial Growth Plan I),,,,Medium,Forward,2.15%,2%,0.43%,14.15%,14.15%,113.12,2025-05-27,"8,408,850,000"
AL Habib Government Securities Fund,,,,-,-,1.75%,1.33%,1.33%,13.97%,15.85%,114.892,2025-05-27,"24,790,500,000"
ABL Fixed Rate Plan V,,,,-,-,0.38%,0.2%,-,13.71%,18.06%,11.3063,2025-05-27,"3,490,000,000"
ABL Fixed Rate Plan X,,,,-,-,0.22%,0.07%,0.07%,13.53%,12.06%,10.5584,2025-05-27,"7,300,000,000"
ABL Islamic Pension Fund,,,,-,Forward,0.02%,1.25%,-,13.52%,11.83%,209.04,2025-05-27,"100,000,000"
Alfalah Stable Return Fund Plan XIX,,,,-,-,0.91%,0.58%,-,13.44%,11.61%,102.385,2025-05-27,"1,013,760,000"
NIT - Income Fund,,,,Medium,Forward,1.86%,1.23%,1.17%,13.41%,15.11%,11.6637,2025-05-27,"2,710,000,000"
Alfalah GHP Income Fund,,,,Medium,Forward,2.38%,1.74%,0.28%,13.4%,16.17%,130.772,2025-05-27,"2,365,910,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan XVII),,,,-,-,0.46%,0.2%,0.3%,13.37%,13.37%,100.806,2025-05-27,-
Al Ameen Islamic Aggressive Income Plan I,,,,-,-,1.71%,0.6%,-,13.36%,16.58%,125.077,2025-05-27,"4,000,000"
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan I),,,,Medium,Forward,2.24%,1.04%,0.47%,13.22%,13.63%,100.443,2025-05-27,"3,808,850,000"
NAFA Islamic Pension Fund,,,,-,Forward,1.46%,1.12%,0.5%,13.18%,14.12%,270.771,2025-05-27,"2,648,000,000"
Askari Sovereign Yield Enhancer,,,,-,-,2.06%,0.5%,0.4%,13.18%,14.93%,117.52,2025-05-27,"79,620,000"
NIT Pension Fund,,,,Medium to High,Forward,0.9%,0.75%,0.5%,13.14%,17.86%,27.0028,2025-05-27,"235,400,000"
NBP Islamic Mahana Amdani Fund,,,,-,-,1.48%,1.06%,0.5%,13.11%,14.43%,11.4532,2025-05-27,"14,459,000,000"
Meezan Daily Income Fund (Meezan Super Saver Plan) (MSSP),,,,-,-,1.5%,1.5%,0.2%,13.09%,14.15%,56.1393,2025-05-27,"3,159,530,000"
Meezan Sovereign Fund,,,,Moderate,-,1.58%,1.5%,0.26%,13.07%,12.8%,58.4669,2025-05-27,"32,995,500,000"
NBP Islamic Income Fund,,,,Medium,Forward,1.82%,1.42%,0.59%,13.06%,14.14%,11.4206,2025-05-27,"8,594,000,000"
MCB DCF Fixed Return Plan IX,,,,-,-,0.14%,-,-,13.02%,12.56%,101.687,2025-05-27,"4,980,850,000"
UBL Fixed Return Plan III (X),,,,-,-,0.22%,0.14%,-,12.98%,11.99%,100.768,2025-05-28,"457,290,000"
AL Habib GOKP Islamic Pension Fund,,,,-,-,0.75%,0.22%,0.22%,12.97%,16.88%,123.588,2025-05-27,"47,140,000"
Meezan Islamic Income Fund,,,,Medium,Forward,1.62%,1.5%,0.25%,12.95%,13.49%,58.2729,2025-05-27,"28,064,100,000"
MCB DCF Fixed Return III (Plan II),,,,-,-,0.3%,0.14%,-,12.85%,17.73%,113.791,2025-05-27,"1,352,640,000"
Alfalah Cash Fund - II (Formerly: Faysal Cash Fund),,,,-,-,0.4%,0.14%,0.02%,12.84%,14.67%,116.175,2025-05-28,"7,086,970,000"
AL Habib Income Fund,,,,-,-,1.74%,1.28%,1.28%,12.84%,15.84%,116.35,2025-05-27,"9,436,140,000"
NAFA Islamic Pension Fund,,,,-,Forward,1.06%,0.74%,0.4%,12.73%,13.71%,275.677,2025-05-27,"3,928,000,000"
ABL Fixed Rate Plan XVI,,,,-,-,0.27%,0.1%,-,12.7%,11.75%,10.2253,2025-05-27,"8,626,000,000"
ABL GOKP Pension Fund,,,,-,-,0.15%,-,-,12.68%,16.26%,117.773,2025-05-27,"43,000,000"
JS Fixed Term Munafa Fund (JS Fixed Term Munafa Plan VI),,,,-,-,0.9%,0.2%,0.3%,12.68%,17.91%,114.969,2025-05-27,"1,740,380,000"
AWT Islamic Income Fund,,,,Low,Forward,0.8%,0.5%,0.5%,12.67%,15.53%,120.373,2025-05-27,"55,951,400,000"
Atlas Sovereign Fund,,,,-,-,1.55%,1.2%,0.06%,12.65%,18.95%,119.764,2025-05-27,"3,787,000,000"
NBP GoKP Islamic Pension Fund,,,,-,-,0.9%,0.3%,-,12.62%,17.97%,126.094,2025-05-27,"325,000,000"
Meezan Tahaffuz Pension Fund,,,,-,Forward,0.7%,0.5%,3%,12.6%,15.75%,473.89,2025-05-27,"14,488,300,000"
Pak Qatar Khalis Bachat Plan,,,,-,-,2.33%,1.5%,0.75%,12.58%,14.45%,114.254,2025-05-27,"355,870,000"
HBL Cash Fund,,,,-,-,0.8%,0.6%,-,12.55%,14.88%,117.115,2025-05-29,"78,258,000,000"
HBL Financial Sector Income Fund Plan I,,,,Medium,Forward,1.75%,1.25%,0.1%,12.55%,15.34%,116.253,2025-05-27,"56,545,000,000"
AL Habib Fixed Return Fund Plan 22,,,,-,-,0.58%,0.35%,-,12.46%,12.46%,100.205,2025-05-27,-
Meezan GOKP Pension Fund,,,,-,-,0.88%,0.3%,-,12.45%,19.59%,128.451,2025-05-27,"437,720,000"
MCB DCF Fixed Return III (Plan I),,,,-,-,0.75%,0.53%,-,12.45%,18.3%,115.943,2025-05-27,"1,032,860,000"
ABL Fixed Rate Plan XV,,,,-,-,0.22%,0.22%,-,12.41%,12.28%,10.111,2025-05-27,"3,936,000,000"
ABL Money Market Plan I,,,,-,-,1.51%,1.25%,0.75%,12.39%,18.71%,11.3746,2025-05-29,"4,475,000,000"
ABL Islamic Sovereign Plan I,,,,-,-,0.94%,0.55%,-,12.39%,14.39%,11.2184,2025-05-27,"1,817,000,000"
Atlas Income Fund,,,,Medium,Forward,1.9%,1.5%,0.1%,12.32%,16.95%,608.539,2025-05-27,"8,654,000,000"
JS Fixed Term Munafa Fund II (JS Fixed Term Munafa Plan I),,,,-,-,1.05%,0.2%,0.3%,12.32%,12.32%,100.709,2025-05-27,-
HBL Income Fund,,,,Medium,Forward,2.5%,2.15%,0.35%,12.29%,15.57%,129.318,2025-05-27,"5,029,000,000"
Atlas Pension Fund,,,,-,-,0.63%,0.35%,-,12.28%,16.18%,552.24,2025-05-27,"1,237,000,000"
Meezan Daily Income Fund (MDIP I),,,,Moderate,Forward,1.5%,1.15%,0.2%,12.27%,13.71%,50,2025-05-27,"37,015,400,000"
Alfalah Stable Return Fund Plan XVI,,,,-,-,0.48%,0.11%,-,12.27%,11.47%,105.215,2025-05-27,"1,401,050,000"
Alfalah Stable Return Fund Plan XVII,,,,-,-,0.55%,0.39%,-,12.25%,11.24%,102.771,2025-05-27,"7,420,050,000"
Alfalah Stable Return Plan XIII,,,,-,-,0.95%,0.7%,-,12.23%,13.59%,108.153,2025-05-27,"4,296,460,000"
AWT Income Fund,,,,-,-,2.01%,1%,0.5%,12.22%,16.96%,127.678,2025-05-27,"1,791,230,000"
UBL Fixed Return Plan I (R),,,,-,-,-717.52%,0.08%,-,12.18%,7.83%,103.41,2025-05-28,"471,420,000"
Pak Qatar Monthly Income Plan,,,,-,-,1.56%,0.85%,0.5%,12.17%,15.7%,102.87,2025-05-27,"827,180,000"
Alfalah GHP Pension Fund,,,,Low,Forward,1.06%,0.48%,0.24%,12.14%,14.51%,231.662,2025-05-27,"339,410,000"
Atlas Pension Islamic Fund,,,,-,-,0.72%,0.4%,-,12.14%,15.37%,436.07,2025-05-27,"1,220,000,000"
AL Habib Fixed Return Fund Plan 18,,,,-,-,0.34%,0.18%,0.12%,12.12%,11.58%,102.888,2025-05-27,"9,009,590,000"
ABL Fixed Rate Plan XIV,,,,-,-,0.59%,0.25%,-,12.12%,12.12%,10.1428,2025-05-27,"9,860,000,000"
MCB DCF Fixed Return Plan VII,,,,-,-,0.29%,0.13%,-,12.09%,11.52%,102.209,2025-05-21,"2,667,790,000"
UBL Fixed Return Plan IV (N),,,,-,-,0.28%,0.23%,-,12.08%,13.22%,103.006,2025-05-28,"4,040,380,000"
AL Habib Fixed Return Fund Plan 15,,,,-,-,0.25%,0.08%,0.05%,12.07%,13.78%,108.459,2025-05-27,"550,110,000"
AL Habib Fixed Return Fund Plan 16,,,,-,-,0.38%,0.21%,0.19%,12.07%,17.34%,112.92,2025-05-27,"9,003,750,000"
UBL Fixed Return Plan I (W),,,,-,-,0.14%,0.08%,-,12.03%,12.13%,104.189,2025-05-14,"5,021,170,000"
Alfalah Money Market Fund - II (Formerly: Faysal Money Market Fund),,,,Low,Backward,1.07%,0.26%,0.09%,12.01%,14.55%,116.699,2025-05-28,"714,150,000"
Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan III),,,,-,-,0.6%,0.31%,0.09%,11.95%,10.17%,107.743,2025-05-27,"6,253,830,000"
Lakson Money Market Fund,,,,Low,Backward,1.07%,0.65%,-,11.93%,15.39%,117.241,2025-05-29,"34,175,000,000"
JS Pension Savings Fund,,,,-,Forward,0.79%,0.5%,-,11.91%,15.07%,449.142,2025-05-27,"576,280,000"
Alfalah MTS Fund (Formerly: Faysal MTS Fund),,,,-,-,0.97%,0.2%,0.4%,11.91%,12.67%,115.33,2025-05-27,"414,800,000"
Alfalah Pension Fund - II (Formerly: Faysal Pension Fund),,,,-,Forward,1.2%,0.01%,-,11.87%,14.37%,162.169,2025-05-27,"2,130,000"
UBL Fixed Return Plan II (X),,,,-,-,0.4%,0.4%,-,11.86%,11.42%,104.191,2025-05-28,"723,390,000"
ABL Pension Fund,,,,-,Forward,0.02%,1%,-,11.85%,14.57%,259.152,2025-05-27,"540,000,000"
AL Habib GOKP Pension Fund,,,,-,-,0.76%,0.23%,0.23%,11.83%,18.52%,125.876,2025-05-27,"49,060,000"
Meezan Paidaar Munafa Plan XV,,,,-,-,0.27%,0.11%,-,11.83%,11.37%,50,2025-05-23,"22,997,000,000"
NIT Money Market Fund,,,,Low,Backward,0.75%,0.5%,0.55%,11.82%,15.63%,11.1054,2025-05-29,"50,326,000,000"
Alfalah GHP Cash Fund,,,,Low,Backward,1.83%,1.23%,0.33%,11.81%,14.65%,571.402,2025-05-28,"3,902,130,000"
Pak Qatar Islamic Pension Fund,,,,-,-,2.07%,1.25%,0.75%,11.8%,15.88%,149.946,2025-05-27,"65,630,000"
HBL Pension Fund,,,,-,Forward,1.53%,1.15%,-,11.76%,15.26%,336.982,2025-05-27,"1,437,110,000"
MCB KPK Govt Employees Pension Fund,,,,-,-,1.13%,0.73%,-,11.75%,18.57%,127.021,2025-05-27,"76,710,000"
NIT Islamic Income Fund,,,,-,Forward,1.83%,1%,0.92%,11.75%,14.18%,10.8853,2025-05-27,"2,371,000,000"
Pakistan Pension Fund,,,,-,Forward,1.52%,1.15%,-,11.69%,15.32%,505.27,2025-05-27,"2,211,040,000"
NBP GoKP Pension Fund,,,,-,-,0.96%,0.35%,-,11.68%,18.93%,127.484,2025-05-27,"172,000,000"
UBL Voluntary Pension Fund KPK,,,,-,-,0.8%,0.6%,-,11.65%,18.38%,126.742,2025-05-28,"61,360,000"
Meezan Paidaar Munafa Plan XIV,,,,-,-,0.3%,0.14%,0.18%,11.64%,10.88%,51.6841,2025-05-26,"7,925,880,000"
NBP Government Securities Liquid Fund,,,,-,-,1.39%,1.1%,0.3%,11.59%,15.18%,11.703,2025-05-27,"11,312,000,000"
NBP Financial Sector Income Fund,,,,Medium,Forward,1.57%,1.21%,0.46%,11.59%,15.22%,12.1263,2025-05-27,"62,752,000,000"
