symbol,name,reported_date,reported_period,eps_estimate,revenue,market_cap,dividend,earning,basic_eps,net_income,fy_revenue,shares,beta,employees,change,emp_revenue,emp_income,sector,industry,ceo,website,headquater,founded,figi
ABL,"Abacus Global Management, Inc.",—,,0.17 USD,—,‪608.12 M‬ USD,—,—,−0.23 USD,‪−23.96 M‬ USD,‪114.26 M‬ USD,‪34.11 M‬,0.59,157,,‪727.80 K‬ USD,‪−152.62 K‬ USD,Finance,Investment Managers,Jay Jackson,abacuslife.com,Orlando,2020,BBG00VY1KB95
ABLV,Able View Global Inc.,‪60.26 M‬ USD,,—,−0.17 USD,89,−9 −9.18%,‪1.45 M‬ USD,‪−83.36 K‬ USD,,,,,Industry,−9 −9.18%,,,,,"H1 '23
H1 '24
H2 '24",,,,
ABM,ABM Industries Incorporated,—,,—,—,‪3.00 B‬ USD,2.20%,37.31,1.28 USD,‪81.40 M‬ USD,‪8.36 B‬ USD,‪61.26 M‬,0.89,‪117 K‬,‪−6 K‬ −4.88%,‪71.45 K‬ USD,695.73 USD,Commercial Services,Miscellaneous Commercial Services,Scott Salmirs,abm.com,New York,1909,BBG000B9YYH7
ABNB,"Airbnb, Inc.",—,,—,—,‪87.08 B‬ USD,—,35.39,4.03 USD,‪2.65 B‬ USD,‪11.10 B‬ USD,‪413.91 M‬,1.25,‪7.3 K‬,,‪1.52 M‬ USD,‪362.74 K‬ USD,Consumer Services,Other Consumer Services,Brian Chesky,airbnb.com,San Francisco,2007,BBG001Y2XS07
ABOS,"Acumen Pharmaceuticals, Inc.",—,,—,—,‪76.93 M‬ USD,—,—,−1.93 USD,‪−102.33 M‬ USD,0.00 USD,‪44.20 M‬,2.49,61,,0.00 USD,‪−1.68 M‬ USD,Health Technology,Pharmaceuticals: Major,Daniel J. O'Connell,acumenpharm.com,Newton,1996,BBG0058YJ317
ABP,"Abpro Holdings, Inc",—,,—,—,‪12.78 M‬ USD,—,—,−0.4247 USD,‪−7.23 M‬ USD,‪183.00 K‬ USD,‪32.49 M‬,−3.15,6,,‪30.50 K‬ USD,‪−1.21 M‬ USD,Finance,Financial Conglomerates,Miles Suk,,2004,BBG013X0S7F3,
ABSI,Absci Corporation,—,,—,—,‪392.88 M‬ USD,—,—,−0.93 USD,‪−103.11 M‬ USD,‪4.53 M‬ USD,‪111.47 M‬,2.53,157,,‪28.88 K‬ USD,‪−656.73 K‬ USD,Health Technology,Biotechnology,Sean McClain,absci.com,Vancouver,2011,BBG011N54CJ8
ABT,Abbott Laboratories,—,,1.25 USD,‪11.05 B‬ USD,‪233.73 B‬ USD,1.77%,17.33,7.74 USD,‪13.35 B‬ USD,‪41.95 B‬ USD,‪1.73 B‬,0.27,‪114 K‬,,‪367.98 K‬ USD,‪117.11 K‬ USD,Health Technology,Medical Specialties,Robert B. Ford,abbott.com,Abbott Park,1888,BBG000B9ZXB4
ABTS,Abits Group Inc,‪10.62 M‬ USD,,—,−0.38 USD,11,0,‪610.11 K‬ USD,‪−82.70 K‬ USD,,,,,Industry,,,,,,"H1 '23
H2 '23
H1 '24
H2 '24",,,,
ABUS,Arbutus Biopharma Corporation,—,,—,—,‪683.75 M‬ USD,—,—,−0.40 USD,‪−69.92 M‬ USD,‪6.17 M‬ USD,‪148.66 M‬,0.01,44,−29 −39.73%,‪140.25 K‬ USD,‪−1.59 M‬ USD,Health Technology,Pharmaceuticals: Major,Lindsay Androski,arbutusbio.com,Warminster,2005,BBG000RR8V85
ABVC,"ABVC BioPharma, Inc.","≈
August 19",Q2 2025,—,—,‪27.42 M‬ USD,—,—,−0.14 USD,‪−4.90 M‬ USD,‪509.59 K‬ USD,‪14.71 M‬,0.92,19,,‪26.82 K‬ USD,‪−258.05 K‬ USD,Health Technology,Pharmaceuticals: Major,Uttam Yashwant Patil,abvcpharma.com,Fremont,1990,BBG000Q844Z2
ABVE,Above Food Ingredients Inc.,‪49.66 M‬ USD,,—,—,2,0,0.00 USD,‪−493.97 K‬ USD,,,,,Industry,,,,,,"Q4 '23
Q1 '24
Q2 '24
Q3 '24
Q4 '24",,,,
AC,"Associated Capital Group, Inc.",‪793.10 M‬ USD,,20.89,1.80 USD,24,−1 −4.00%,‪2.33 M‬ USD,‪1.85 M‬ USD,,,,,Industry,−1 −4.00%,,,,,,,,,
ACA,"Arcosa, Inc.",—,,—,—,‪4.35 B‬ USD,0.22%,56.42,1.60 USD,‪93.40 M‬ USD,‪2.57 B‬ USD,‪47.87 M‬,1.46,‪6.25 K‬,,‪411.18 K‬ USD,‪14.94 K‬ USD,Producer Manufacturing,Trucks/Construction/Farm Machinery,Antonio Carrillo Rule,arcosa.com,Dallas,2017,BBG00JGMWFM9
ACAD,ACADIA Pharmaceuticals Inc.,—,,—,—,‪3.73 B‬ USD,—,16.00,1.38 USD,‪226.45 M‬ USD,‪957.80 M‬ USD,‪166.02 M‬,1.19,654,,‪1.46 M‬ USD,‪346.26 K‬ USD,Health Technology,Pharmaceuticals: Major,Catherine Owen Adams,acadia.com,San Diego,1993,BBG000BHG9K0
ACCO,Acco Brands Corporation,—,,—,—,‪343.28 M‬ USD,7.87%,—,−1.12 USD,‪−101.60 M‬ USD,‪1.67 B‬ USD,‪86.31 M‬,1.11,‪5 K‬,−600 −10.71%,‪333.24 K‬ USD,‪−20.32 K‬ USD,Producer Manufacturing,Office Equipment/Supplies,Thomas W. Tedford,accobrands.com,Lake Zurich,1903,BBG000J06K07
ACCS,ACCESS Newswire Inc.,—,,—,—,‪39.05 M‬ USD,—,—,−1.37 USD,‪−10.79 M‬ USD,‪23.06 M‬ USD,‪2.86 M‬,0.29,113,−23 −16.91%,‪204.04 K‬ USD,‪−117.53 K‬ USD,Technology Services,Packaged Software,Brian R. Balbirnie,accessnewswire.com,Raleigh,1988,BBG000C1CK87
ACDC,ProFrac Holding Corp.,—,,—,—,‪1.40 B‬ USD,—,—,−1.49 USD,‪−215.10 M‬ USD,‪2.19 B‬ USD,‪11.06 M‬,2.35,‪3.08 K‬,,‪712.02 K‬ USD,‪−69.91 K‬ USD,Industrial Services,Oilfield Services/Equipment,Johnathan Ladd Wilks,pfholdingscorp.com,Willow Park,2016,BBG013PRYPJ2
ACEL,"Accel Entertainment, Inc.",—,,—,—,‪968.30 M‬ USD,—,22.77,0.50 USD,‪35.25 M‬ USD,‪1.23 B‬ USD,‪50.60 M‬,0.94,‪1.5 K‬,,‪820.65 K‬ USD,‪23.50 K‬ USD,Consumer Services,Movies/Entertainment,Andrew H. Rubenstein,accelentertainment.com,Burr Ridge,2010,BBG00GX221W3
ACET,"Adicet Bio, Inc.","≈
August 6",Q2 2025,−0.31 USD,0.00 USD,‪63.65 M‬ USD,—,—,−1.2914 USD,‪−117.12 M‬ USD,0.00 USD,‪65.38 M‬,1.87,152,,0.00 USD,‪−770.54 K‬ USD,Health Technology,Pharmaceuticals: Major,Chen Schor,adicetbio.com,Boston,2014,BBG00JCXSJP3
ACGL,Arch Capital Group Ltd.,—,,,,—,—,—,—,,,,,‪34.61 B‬ USD,,9.80,9.99 USD,,,,,,,
ACHC,"Acadia Healthcare Company, Inc.",—,,—,—,‪2.09 B‬ USD,—,11.16,2.05 USD,‪255.61 M‬ USD,‪3.15 B‬ USD,‪89.37 M‬,0.74,‪25.5 K‬,,‪123.68 K‬ USD,‪10.02 K‬ USD,Health Services,Medical/Nursing Services,Christopher H. Hunter,acadiahealthcare.com,Franklin,2005,BBG000FPNN38
ACHR,Archer Aviation Inc.,—,,,,—,—,—,—,,,,,‪5.59 B‬ USD,,—,−1.24 USD,,,,,,,
ACHV,"Achieve Life Sciences, Inc.",—,,—,—,‪132.84 M‬ USD,—,—,−1.34 USD,‪−39.83 M‬ USD,0.00 USD,‪29.37 M‬,2.11,25,,0.00 USD,‪−1.59 M‬ USD,Health Technology,Pharmaceuticals: Major,Richard Alistair Balfour Stewart,achievelifesciences.com,Vancouver,1991,BBG000FB8S62
ACI,"Albertsons Companies, Inc.",—,,—,—,‪12.22 B‬ USD,2.80%,12.91,1.65 USD,‪958.60 M‬ USD,‪80.39 B‬ USD,‪413.69 M‬,0.06,‪195 K‬,‪−90 K‬ −31.58%,‪412.26 K‬ USD,‪4.92 K‬ USD,Retail Trade,Food Retail,Susan D. Morris,albertsonscompanies.com,Boise,1939,BBG009KG1750
ACIC,American Coastal Insurance Corporation,—,,—,—,‪528.02 M‬ USD,—,7.21,1.55 USD,‪75.72 M‬ USD,‪296.66 M‬ USD,‪23.94 M‬,0.53,65,−6 −8.45%,‪4.56 M‬ USD,‪1.17 M‬ USD,Finance,Property/Casualty Insurance,Bennett Bradford Martz,amcoastal.com,St. Petersburg,2007,BBG000TKFJQ7
ACIU,AC Immune SA,—,,—,—,‪201.84 M‬ USD,—,—,−0.58 USD,‪−57.82 M‬ USD,‪31.01 M‬ USD,‪61.06 M‬,1.23,172,,‪180.29 K‬ USD,‪−336.14 K‬ USD,Health Technology,Pharmaceuticals: Major,Andrea Pfeifer,acimmune.com,Lausanne,2003,CH0329023102
ACIW,"ACI Worldwide, Inc.",—,,—,—,‪4.96 B‬ USD,—,18.64,2.57 USD,‪203.12 M‬ USD,‪1.59 B‬ USD,‪103.32 M‬,0.97,‪3.1 K‬,−109 −3.39%,‪513.79 K‬ USD,‪65.46 K‬ USD,Technology Services,Packaged Software,Thomas W. Warsop,aciworldwide.com,Elkhorn,1975,BBG000PMBV39
ACLS,"Axcelis Technologies, Inc.",—,,—,—,‪2.04 B‬ USD,—,11.63,5.48 USD,‪200.99 M‬ USD,‪1.02 B‬ USD,‪31.45 M‬,1.66,‪1.52 K‬,−96 −5.93%,‪667.89 K‬ USD,‪131.88 K‬ USD,Producer Manufacturing,Industrial Machinery,Russell J. Low,axcelis.com,Beverly,1978,BBG000DW34S2
ACLX,"Arcellx, Inc.",—,,—,—,‪3.68 B‬ USD,—,—,−2.98 USD,‪−107.35 M‬ USD,‪107.94 M‬ USD,‪39.50 M‬,1.21,163,,‪662.18 K‬ USD,‪−658.58 K‬ USD,Health Technology,Biotechnology,Rami Elghandour,arcellx.com,Redwood City,2014,BBG00QHJM4S9
ACM,AECOM,—,,—,—,‪14.73 B‬ USD,0.93%,24.29,4.62 USD,‪402.27 M‬ USD,‪16.11 B‬ USD,‪131.75 M‬,0.67,‪51 K‬,‪−1 K‬ −1.92%,‪315.79 K‬ USD,‪9.92 K‬ USD,Industrial Services,Engineering & Construction,W. Troy Rudd,aecom.com,Dallas,1980,BBG000F61RJ8
ACMR,"ACM Research, Inc.",—,,—,—,‪1.60 B‬ USD,—,16.00,1.70 USD,‪103.63 M‬ USD,‪782.12 M‬ USD,‪49.85 M‬,1.25,‪2.02 K‬,,‪386.61 K‬ USD,‪51.22 K‬ USD,Producer Manufacturing,Industrial Machinery,David H. Wang,acmr.com,Fremont,1998,BBG00HPSG933
ACN,Accenture plc,—,,,,—,—,—,—,,,,,‪198.86 B‬ USD,,26.21,12.26 USD,,,,,,,
ACNB,ACNB Corporation,—,,—,—,‪434.97 M‬ USD,3.27%,14.33,2.92 USD,‪31.85 M‬ USD,‪132.19 M‬ USD,‪10.07 M‬,0.88,416,,‪317.78 K‬ USD,‪76.55 K‬ USD,Finance,Regional Banks,James P. Helt,acnb.com,Gettysburg,1982,BBG000BJ2LY9
ACNT,Ascent Industries Co.,—,,—,—,‪138.09 M‬ USD,—,—,−1.03 USD,‪−15.14 M‬ USD,‪177.87 M‬ USD,‪8.44 M‬,−0.11,452,−65 −12.57%,‪393.52 K‬ USD,‪−24.83 K‬ USD,Non-Energy Minerals,Steel,J. Bryan Kitchen,ascentco.com,Schaumburg,1945,BBG000CLRHW7
ACOG,Alpha Cognition Inc.,—,,—,—,‪150.19 M‬ USD,—,—,−1.29 USD,‪−14.64 M‬ USD,0.00 USD,‪12.48 M‬,1.49,Industry,,,,,,,,,,
ACON,"Aclarion, Inc.",—,,—,—,‪4.15 M‬ USD,—,—,"−4,281.00 USD",‪−6.99 M‬ USD,‪45.72 K‬ USD,‪581.22 K‬,−1.42,6,,‪7.62 K‬ USD,‪−1.17 M‬ USD,Technology Services,Packaged Software,Brent Ness,aclarion.com,Broomfield,2008,BBG014FBN4K3
ACRS,"Aclaris Therapeutics, Inc.",—,,—,—,‪163.50 M‬ USD,—,—,−1.40 USD,‪−132.06 M‬ USD,‪18.72 M‬ USD,‪92.28 M‬,1.84,64,−27 −29.67%,‪292.50 K‬ USD,‪−2.06 M‬ USD,Health Technology,Pharmaceuticals: Major,Neal S. Walker,aclaristx.com,Wayne,2012,BBG003LF0QR9
ACRV,"Acrivon Therapeutics, Inc.",—,,—,—,‪40.13 M‬ USD,—,—,−2.22 USD,‪−80.56 M‬ USD,0.00 USD,‪22.16 M‬,1.85,78,,0.00 USD,‪−1.03 M‬ USD,Health Technology,Pharmaceuticals: Major,Peter Blume-Jensen,acrivon.com,Watertown,2018,BBG011RWR2Q4
ACT,"Enact Holdings, Inc.",—,,—,—,‪5.20 B‬ USD,2.43%,7.79,4.48 USD,‪688.07 M‬ USD,‪1.20 B‬ USD,‪31.25 M‬,0.56,421,−44 −9.46%,‪2.85 M‬ USD,‪1.63 M‬ USD,Finance,Multi-Line Insurance,Rohit Gupta,enactmi.com,Raleigh,1981,BBG00WSNP4R3
ACTG,Acacia Research Corporation,—,,—,—,‪368.34 M‬ USD,—,—,−0.11 USD,‪−36.06 M‬ USD,‪122.31 M‬ USD,‪94.41 M‬,0.85,‪1.04 K‬,,‪118.06 K‬ USD,‪−34.80 K‬ USD,Commercial Services,Miscellaneous Commercial Services,Martin D. McNulty,acaciaresearch.com,New York,1993,BBG000KF9J02
ACTU,"Actuate Therapeutics, Inc.",—,,—,—,‪175.79 M‬ USD,—,—,−1.30 USD,‪−27.29 M‬ USD,0.00 USD,‪5.90 M‬,1.25,10,,‪−2.73 M‬ USD,,Health Technology,Pharmaceuticals: Major,Daniel M. Schmitt,actuatetherapeutics.com,Fort Worth,2015,BBG00NK7LK03
ACU,Acme,—,,—,—,‪150.41 M‬ USD,1.51%,16.20,2.70 USD,‪10.02 M‬ USD,‪194.49 M‬ USD,‪3.32 M‬,0.42,633,−12 −1.86%,‪307.25 K‬ USD,‪15.83 K‬ USD,Distribution Services,Wholesale Distributors,Walter C. Johnsen,acmeunited.com,Shelton,1867,BBG000BB3LM8
ACVA,ACV Auctions Inc.,—,,—,—,‪2.83 B‬ USD,—,—,−0.45 USD,‪−79.70 M‬ USD,‪637.16 M‬ USD,‪162.28 M‬,1.22,‪2.9 K‬,,‪219.71 K‬ USD,‪−27.48 K‬ USD,Retail Trade,Internet Retail,George G. Chamoun,acvauctions.com,Buffalo,2014,BBG00G5JGQ66
ACXP,"Acurx Pharmaceuticals, Inc.","≈
August 18",Q2 2025,−0.12 USD,0.00 USD,‪8.25 M‬ USD,—,—,−0.7035 USD,‪−14.10 M‬ USD,0.00 USD,‪20.39 M‬,1.64,4,,0.00 USD,‪−3.53 M‬ USD,Health Technology,Pharmaceuticals: Major,David P. Luci,acurxpharma.com,New York,2017,BBG01184DNJ4
ADBE,Adobe Inc.,—,,,,—,—,—,—,,,,,‪177.41 B‬ USD,,27.46,15.26 USD,,,,,,,
ADCT,ADC Therapeutics SA,—,,—,—,‪354.07 M‬ USD,—,—,−1.45 USD,‪−157.85 M‬ USD,‪70.84 M‬ USD,‪77.79 M‬,2.37,265,,‪267.31 K‬ USD,‪−595.65 K‬ USD,Health Technology,Pharmaceuticals: Major,Ameet Mallik,adctherapeutics.com,Epalinges,2011,CH0499880968
ADD,"Color Star Technology Co., Ltd.",‪20.83 M‬ USD,,—,—,47,0,‪60.22 K‬ USD,‪−571.58 K‬ USD,,,,,Industry,,,,,,,,,,
ADEA,Adeia Inc.,—,,—,—,‪1.45 B‬ USD,1.49%,20.09,0.69 USD,‪64.62 M‬ USD,‪376.02 M‬ USD,‪105.88 M‬,0.96,150,,‪2.51 M‬ USD,‪430.82 K‬ USD,Technology Services,Packaged Software,Paul E. Davis,adeia.com,San Jose,2022,BBG00RBFBL50
ADGM,"Adagio Medical Holdings, Inc",‪19.53 M‬ USD,,—,−11.04 USD,80,"+77 +2,566.67%",‪7.53 K‬ USD,‪−938.01 K‬ USD,,,,,Industry,,,,,,,,,,
ADI,"Analog Devices, Inc.",—,,—,—,‪110.30 B‬ USD,1.78%,60.51,3.69 USD,‪1.64 B‬ USD,‪9.43 B‬ USD,‪494.78 M‬,1.58,‪24 K‬,‪−2 K‬ −7.69%,‪392.80 K‬ USD,‪68.14 K‬ USD,Electronic Technology,Semiconductors,Vincent T. Roche,analog.com,Wilmington,1965,BBG000BB6G37
ADIL,"Adial Pharmaceuticals, Inc",—,,—,—,‪4.52 M‬ USD,—,—,−1.6240 USD,‪−13.20 M‬ USD,0.00 USD,‪7.76 M‬,0.72,7,,0.00 USD,‪−1.89 M‬ USD,Health Technology,Pharmaceuticals: Major,Cary J. Claiborne,adialpharma.com,Glen Allen,2010,BBG00HNGDTR4
ADM,Archer-Daniels-Midland Company,—,,—,—,‪22.78 B‬ USD,4.30%,16.90,2.82 USD,‪1.80 B‬ USD,‪85.50 B‬ USD,‪477.13 M‬,0.45,‪44.04 K‬,,‪1.94 M‬ USD,‪40.87 K‬ USD,Process Industries,Agricultural Commodities/Milling,Juan Ricardo Luciano,adm.com,Chicago,1902,BBG000BB6WG8
ADMA,ADMA Biologics Inc,—,,—,—,‪4.98 B‬ USD,—,24.42,0.88 USD,‪197.67 M‬ USD,‪426.45 M‬ USD,‪230.40 M‬,0.88,685,,‪622.56 K‬ USD,‪288.57 K‬ USD,Health Technology,Biotechnology,Adam S. Grossman,admabiologics.com,Ramsey,2004,BBG002NCK5M5
ADN,"Advent Technologies Holdings, Inc.",—,,—,—,‪7.65 M‬ USD,—,—,−15.62 USD,‪−40.99 M‬ USD,‪3.28 M‬ USD,‪2.53 M‬,1.65,31,−69 −69.00%,‪105.68 K‬ USD,‪−968.19 K‬ USD,Electronic Technology,Semiconductors,Gary Lawrence Herman,advent.energy,Livermore,2018,BBG00MDV8X34
ADNT,Adient plc,—,,—,—,‪1.38 B‬ USD,—,—,−3.19 USD,‪18.00 M‬ USD,‪14.69 B‬ USD,‪82.00 M‬,0.89,‪70 K‬,,‪209.83 K‬ USD,257.14 USD,Producer Manufacturing,Auto Parts: OEM,Jerome Dorlack,adient.com,Plymouth,1985,IE00BD845X29
ADP,"Automatic Data Processing, Inc.",—,,—,—,‪132.66 B‬ USD,1.93%,33.45,9.81 USD,‪3.75 B‬ USD,‪19.20 B‬ USD,‪405.37 M‬,0.51,‪64 K‬,,‪300.04 K‬ USD,‪58.63 K‬ USD,Technology Services,Packaged Software,Maria Black,adp.com,Roseland,1949,BBG000JG0547
ADPT,Adaptive Biotechnologies Corporation,—,,—,—,‪1.59 B‬ USD,—,—,−0.96 USD,‪−159.49 M‬ USD,‪178.96 M‬ USD,‪144.91 M‬,1.34,619,−90 −12.69%,‪289.11 K‬ USD,‪−257.66 K‬ USD,Health Technology,Biotechnology,Chad Robins,adaptivebiotech.com,Seattle,2009,BBG001J2PFF5
ADSE,ADS-TEC ENERGY PLC,"≈
September 10",H1 2025,−0.31 USD,‪51.39 M‬ USD,‪586.79 M‬ USD,—,—,−2.07 USD,‪−105.96 M‬ USD,‪119.00 M‬ USD,‪24.81 M‬,0.56,302,,‪394.04 K‬ USD,‪−350.86 K‬ USD,Producer Manufacturing,Electrical Products,Thomas Gerhart Speidel,ads-tec-energy.com,Dublin,2021,IE000DU292E6
ADSK,"Autodesk, Inc.",—,,—,—,‪63.73 B‬ USD,—,63.83,4.71 USD,‪1.11 B‬ USD,‪6.11 B‬ USD,‪213.37 M‬,0.98,‪15.3 K‬,,‪399.48 K‬ USD,‪72.68 K‬ USD,Technology Services,Packaged Software,Andrew Anagnost,autodesk.com,San Francisco,1982,BBG000BM7HL0
ADT,ADT Inc.,—,,—,—,‪6.50 B‬ USD,2.61%,14.10,0.62 USD,‪501.05 M‬ USD,‪4.90 B‬ USD,‪536.66 M‬,0.53,‪12.8 K‬,‪−1.5 K‬ −10.49%,‪382.69 K‬ USD,‪48.39 K‬ USD,Commercial Services,Miscellaneous Commercial Services,James D. DeVries,adt.com,Boca Raton,1874,BBG000BP9WJ1
ADTN,"ADTRAN Holdings, Inc.",—,,−0.01 USD,—,‪648.62 M‬ USD,—,—,−1.72 USD,‪−456.91 M‬ USD,‪922.72 M‬ USD,‪68.81 M‬,1.74,‪3.23 K‬,,‪285.32 K‬ USD,‪−141.28 K‬ USD,Electronic Technology,Computer Peripherals,Thomas R. Stanton,adtran.com,Huntsville,1985,BBG0169CH7X9
